"","class","family","species","angle","mimicType","right","wrong","numPhotos","accuracy"
"51","Arachnida","Corinnidae","Aetius nocturnus","Dorsal","mimic",31,4,1,0.885714285714286
"93","Arachnida","Corinnidae","Battalus byrneae","Anterior","non-mimic",62,1,1,0.984126984126984
"94","Arachnida","Corinnidae","Castineira cingulata","Anterior","non-mimic",54,0,1,1
"53","Arachnida","Corinnidae","Castineira cingulata","Dorsal","mimic",54,2,1,0.964285714285714
"101","Arachnida","Corinnidae","Copa kabana","Dorsal","non-mimic",58,0,1,1
"42","Arachnida","Corinnidae","Corrinnomma sp.","Anterior","mimic",44,8,1,0.846153846153846
"54","Arachnida","Corinnidae","Corrinnomma sp.","Dorsal","mimic",44,1,1,0.977777777777778
"74","Arachnida","Corinnidae","Corrinnomma sp.","Lateral","mimic",35,18,1,0.660377358490566
"102","Arachnida","Corinnidae","Disnyssus judidenchae","Dorsal","non-mimic",48,0,1,1
"106","Arachnida","Corinnidae","Iridonyssus formicans","Dorsal","non-mimic",62,0,1,1
"58","Arachnida","Corinnidae","Iridonyssus kohouti","Dorsal","mimic",52,3,1,0.945454545454545
"109","Arachnida","Corinnidae","Leichhardteus albofasciatus","Dorsal","non-mimic",42,0,1,1
"127","Arachnida","Corinnidae","Leichhardteus albofasciatus","Posterior","non-mimic",52,0,1,1
"110","Arachnida","Corinnidae","Leichhardteus conopalpis","Dorsal","non-mimic",60,0,1,1
"49","Arachnida","Corinnidae","Myrmecotypus rettenmeyeri","Anterior","mimic",25,25,1,0.5
"112","Arachnida","Corinnidae","Nyssus albopunctatus","Dorsal","non-mimic",53,0,1,1
"113","Arachnida","Corinnidae","Nyssus avidus","Dorsal","non-mimic",49,1,1,0.98
"114","Arachnida","Corinnidae","Nyssus coloripes","Dorsal","non-mimic",53,0,1,1
"87","Arachnida","Corinnidae","Nyssus coloripes","Lateral","mimic",59,2,1,0.967213114754098
"88","Arachnida","Corinnidae","Nyssus luteofinis","Lateral","mimic",91,11,2,0.892156862745098
"97","Arachnida","Corinnidae","Nyssus paradoxus","Anterior","non-mimic",49,3,1,0.942307692307692
"115","Arachnida","Corinnidae","Nyssus paradoxus","Dorsal","non-mimic",58,0,1,1
"116","Arachnida","Corinnidae","Nyssus supunnoides","Dorsal","non-mimic",49,1,1,0.98
"69","Arachnida","Corinnidae","Poecilipta sp1","Dorsal","mimic",95,6,1,0.940594059405941
"50","Arachnida","Corinnidae","Sphecotypus niger","Anterior","mimic",18,28,1,0.391304347826087
"72","Arachnida","Corinnidae","Sphecotypus niger","Dorsal","mimic",26,22,1,0.541666666666667
"103","Arachnida","Gnaphosidae","Eilica sp1","Dorsal","non-mimic",35,0,1,1
"123","Arachnida","Gnaphosidae","Eilica sp1","Lateral","non-mimic",35,0,1,1
"107","Arachnida","Lamponidae","Lamponid2 sp1","Dorsal","non-mimic",93,0,1,1
"124","Arachnida","Lamponidae","Lamponid2 sp1","Lateral","non-mimic",87,2,1,0.97752808988764
"108","Arachnida","Lamponidae","Lamponid4 sp1","Dorsal","non-mimic",105,0,1,1
"98","Arachnida","Salticidae","Abracadabrella elegans","Dorsal","non-mimic",56,0,1,1
"120","Arachnida","Salticidae","Abracadabrella elegans","Lateral","non-mimic",64,0,1,1
"126","Arachnida","Salticidae","Abracadabrella elegans","Posterior","non-mimic",54,3,1,0.947368421052632
"43","Arachnida","Salticidae","Cosmophasis bitaeniata","Anterior","mimic",37,3,1,0.925
"55","Arachnida","Salticidae","Cosmophasis bitaeniata","Dorsal","mimic",31,2,1,0.939393939393939
"75","Arachnida","Salticidae","Cosmophasis bitaeniata","Lateral","mimic",30,5,1,0.857142857142857
"57","Arachnida","Salticidae","Damoetas nitidus","Dorsal","mimic",50,5,1,0.909090909090909
"76","Arachnida","Salticidae","Damoetas nitidus","Lateral","mimic",57,1,1,0.982758620689655
"104","Arachnida","Salticidae","Helpis minitabunda","Dorsal","non-mimic",47,0,1,1
"44","Arachnida","Salticidae","Judalana lutea","Anterior","mimic",42,19,1,0.688524590163934
"59","Arachnida","Salticidae","Judalana lutea","Dorsal","mimic",32,8,1,0.8
"77","Arachnida","Salticidae","Judalana lutea","Lateral","mimic",50,12,1,0.806451612903226
"60","Arachnida","Salticidae","Ligonipes lacertosus","Dorsal","mimic",47,8,1,0.854545454545454
"78","Arachnida","Salticidae","Ligonipes lacertosus","Lateral","mimic",70,45,2,0.608695652173913
"45","Arachnida","Salticidae","Ligonipes semitectus","Anterior","mimic",81,19,1,0.81
"61","Arachnida","Salticidae","Ligonipes semitectus","Dorsal","mimic",38,16,1,0.703703703703704
"79","Arachnida","Salticidae","Ligonipes semitectus","Lateral","mimic",32,28,1,0.533333333333333
"62","Arachnida","Salticidae","Myrmapana plataleoides","Dorsal","mimic",10,14,1,0.416666666666667
"80","Arachnida","Salticidae","Myrmarachne bicolor","Lateral","mimic",26,34,1,0.433333333333333
"63","Arachnida","Salticidae","Myrmarachne erythrocephala","Dorsal","mimic",25,15,1,0.625
"81","Arachnida","Salticidae","Myrmarachne erythrocephala","Lateral","mimic",21,30,1,0.411764705882353
"91","Arachnida","Salticidae","Myrmarachne erythrocephala","Posterior","mimic",19,29,1,0.395833333333333
"64","Arachnida","Salticidae","Myrmarachne helensmithae","Dorsal","mimic",42,19,1,0.688524590163934
"82","Arachnida","Salticidae","Myrmarachne helensmithae","Lateral","mimic",13,40,1,0.245283018867925
"65","Arachnida","Salticidae","Myrmarachne luctuosa","Dorsal","mimic",166,19,2,0.897297297297297
"66","Arachnida","Salticidae","Myrmarachne macaulayi","Dorsal","mimic",17,40,1,0.298245614035088
"83","Arachnida","Salticidae","Myrmarachne macaulayi","Lateral","mimic",33,19,1,0.634615384615385
"92","Arachnida","Salticidae","Myrmarachne macaulayi","Posterior","mimic",14,34,1,0.291666666666667
"46","Arachnida","Salticidae","Myrmarachne macleayana","Anterior","mimic",40,20,1,0.666666666666667
"67","Arachnida","Salticidae","Myrmarachne macleayana","Dorsal","mimic",60,44,2,0.576923076923077
"84","Arachnida","Salticidae","Myrmarachne macleayana","Lateral","mimic",85,181,4,0.319548872180451
"68","Arachnida","Salticidae","Myrmarachne smaragdina","Dorsal","mimic",60,46,2,0.566037735849057
"85","Arachnida","Salticidae","Myrmarachne smaragdina","Lateral","mimic",31,80,2,0.279279279279279
"47","Arachnida","Salticidae","Myrmarachne sp 2","Anterior","mimic",42,9,1,0.823529411764706
"86","Arachnida","Salticidae","Myrmarachne sp1","Lateral","mimic",45,47,1,0.489130434782609
"48","Arachnida","Salticidae","Myrmarachne striatipes","Anterior","mimic",57,30,1,0.655172413793103
"96","Arachnida","Salticidae","Neon nelli","Anterior","non-mimic",49,0,1,1
"111","Arachnida","Salticidae","Neon nelli","Dorsal","non-mimic",52,0,1,1
"125","Arachnida","Salticidae","Neon nelli","Lateral","non-mimic",48,1,1,0.979591836734694
"70","Arachnida","Salticidae","Rhombonotus gracilis","Dorsal","mimic",18,20,1,0.473684210526316
"89","Arachnida","Salticidae","Rhombonotus gracilis","Lateral","mimic",13,21,1,0.382352941176471
"119","Arachnida","Salticidae","Zenodorus metallescens","Dorsal","non-mimic",105,0,1,1
"95","Arachnida","Sparassidae","Holconia sp","Anterior","non-mimic",85,1,1,0.988372093023256
"105","Arachnida","Sparassidae","Holconia sp","Dorsal","non-mimic",86,0,1,1
"41","Arachnida","Thomisidae","Amyciaea albomaculata","Anterior","mimic",82,9,1,0.901098901098901
"90","Arachnida","Thomisidae","Amyciaea albomaculata","Posterior","mimic",81,16,1,0.835051546391753
"52","Insecta","Alydidae","Alydid3 sp1","Dorsal","mimic",86,19,1,0.819047619047619
"73","Insecta","Alydidae","Alydid3 sp1","Lateral","mimic",38,59,1,0.391752577319588
"71","Insecta","Alydidae","Riptortus abdominalis","Dorsal","mimic",50,63,1,0.442477876106195
"99","Insecta","Chrysididae","Chrysidid1 sp1","Dorsal","non-mimic",97,2,1,0.97979797979798
"121","Insecta","Chrysididae","Chrysidid1 sp1","Lateral","non-mimic",94,2,1,0.979166666666667
"100","Insecta","Coleoptera","Coleoptera2 sp1","Dorsal","non-mimic",23,5,1,0.821428571428571
"122","Insecta","Coleoptera","Coleoptera2 sp1","Lateral","non-mimic",25,1,1,0.961538461538462
"7","Insecta","Formicidae","Camponotus nigriceps","Dorsal","ant",24,6,1,0.8
"8","Insecta","Formicidae","Camponotus sp.","Dorsal","ant",62,1,1,0.984126984126984
"1","Insecta","Formicidae","Camponotus sp3","Anterior","ant",95,3,1,0.969387755102041
"9","Insecta","Formicidae","Camponotus sp3","Dorsal","ant",89,0,1,1
"28","Insecta","Formicidae","Camponotus sp3","Lateral","ant",97,0,1,1
"10","Insecta","Formicidae","Crematogaster sp1","Dorsal","ant",98,1,1,0.98989898989899
"29","Insecta","Formicidae","Crematogaster sp1","Lateral","ant",102,2,1,0.980769230769231
"11","Insecta","Formicidae","Dolichoderus scabridus","Dorsal","ant",98,2,2,0.98
"30","Insecta","Formicidae","Dolichoderus scabridus","Lateral","ant",101,3,1,0.971153846153846
"2","Insecta","Formicidae","Dolichoderus sp.","Anterior","ant",53,0,1,1
"12","Insecta","Formicidae","Dolichoderus sp.","Dorsal","ant",51,1,1,0.980769230769231
"3","Insecta","Formicidae","Formicid sp.","Anterior","ant",87,1,3,0.988636363636364
"13","Insecta","Formicidae","Formicid sp.","Dorsal","ant",217,5,6,0.977477477477477
"31","Insecta","Formicidae","Formicid sp.","Lateral","ant",450,18,13,0.961538461538462
"14","Insecta","Formicidae","Formicid1 sp1","Dorsal","ant",79,1,2,0.9875
"32","Insecta","Formicidae","Formicid1 sp1","Lateral","ant",42,0,1,1
"4","Insecta","Formicidae","Formicid10 sp1","Anterior","ant",26,0,1,1
"15","Insecta","Formicidae","Formicid10 sp1","Dorsal","ant",28,0,1,1
"33","Insecta","Formicidae","Formicid10 sp1","Lateral","ant",34,0,1,1
"16","Insecta","Formicidae","Formicid14 sp1","Dorsal","ant",94,2,1,0.979166666666667
"34","Insecta","Formicidae","Formicid14 sp1","Lateral","ant",104,2,1,0.981132075471698
"17","Insecta","Formicidae","Formicid22 sp1","Dorsal","ant",43,0,1,1
"35","Insecta","Formicidae","Formicid22 sp1","Lateral","ant",31,1,1,0.96875
"18","Insecta","Formicidae","Formicid28 sp1","Dorsal","ant",34,1,1,0.971428571428571
"36","Insecta","Formicidae","Formicid28 sp1","Lateral","ant",57,2,2,0.966101694915254
"19","Insecta","Formicidae","Formicid29 sp1","Dorsal","ant",34,0,1,1
"37","Insecta","Formicidae","Idiomyrmex sp.","Lateral","ant",48,2,1,0.96
"20","Insecta","Formicidae","Leptomyrmex sp.","Dorsal","ant",43,2,1,0.955555555555556
"21","Insecta","Formicidae","Myrmecia nigrocincta","Dorsal","ant",103,4,2,0.962616822429907
"38","Insecta","Formicidae","Myrmecia nigrocincta","Lateral","ant",54,2,1,0.964285714285714
"22","Insecta","Formicidae","Myrmecia sp.","Dorsal","ant",63,0,1,1
"5","Insecta","Formicidae","Opisthopsis sp2","Anterior","ant",105,3,1,0.972222222222222
"23","Insecta","Formicidae","Orectognathus versicolor","Dorsal","ant",44,12,1,0.785714285714286
"6","Insecta","Formicidae","Pachycondyla villosa","Anterior","ant",51,1,1,0.980769230769231
"24","Insecta","Formicidae","Polyrhachis daemeli","Dorsal","ant",51,2,1,0.962264150943396
"25","Insecta","Formicidae","Polyrhachis rufifemur","Dorsal","ant",44,7,1,0.862745098039216
"39","Insecta","Formicidae","Polyrhachis rufifemur","Lateral","ant",110,5,2,0.956521739130435
"26","Insecta","Formicidae","Polyrhachis sp.","Dorsal","ant",50,10,1,0.833333333333333
"40","Insecta","Formicidae","Polyrhachis sp14","Lateral","ant",111,4,1,0.965217391304348
"27","Insecta","Formicidae","Rhytidoponera metallica","Dorsal","ant",96,3,1,0.96969696969697
"117","Insecta","Reduviidae","Reduviid2 sp1","Dorsal","non-mimic",94,1,1,0.989473684210526
"118","Insecta","Reduviidae","Reduviid3 sp1","Dorsal","non-mimic",95,14,1,0.871559633027523
"56","Insecta","Rhyparochromidae","Daerlac nigricans","Dorsal","mimic",62,21,1,0.746987951807229
